Walmart Item ID,Product Name,Category
2830849027,"Reese's and Kit Kat Assorted Milk Chocolate Snack Size Halloween Candy, Bulk Bag 43.65 oz, 80 Pieces",Halloween Candy
16777398,"7UP Zero Sugar Lemon Lime Soda, 12 fl oz cans, 12 pack",Lemon Lime Soda
55522122,"Old Wisconsin Gluten Free Turkey Sausage Sticks, 28 Oz",Turkey Sausage Sticks
992524020,"Great Value Purified Drinking Water, 16.9 fl oz Bottles, 40 Count",Drinking Water
1584437352,"Tootsie Roll Child's Play - Individually Wrapped Party Candy - Funtastic Candy Variety Mix Bag - Peanut Free, Gluten Free - 45.4 oz bag",Candy Variety Mix
10316057,"Johnsonville Original Breakfast Sausage, 14 Links, 12 oz (Fresh)",Breakfast Sausage
15529427,"Heinz Tomato Ketchup, 32 oz Bottle",Ketchup
613823324,"Freshness Guaranteed Fresh Chicken Drumsticks, 19g Protein per 4oz Serving, 5 lb",Chicken Drumsticks
1654255732,"Hershey Assorted Chocolate Flavored Halloween Candy, Variety Bag 29.52 oz, 100 Pieces",Halloween Candy
10290749,"Bar S Classic Franks, 12 oz, 8 Count",Hot Dogs
10292862,Red Baron Frozen Pizza French Bread Pepperoni,Frozen Pizza
2002689616,"Hershey Assorted Chocolate Flavored Miniatures Halloween Candy, Variety Bag 65.47 oz, 230 Pieces",Halloween Candy
10311875,"Hershey's Strawberry Syrup, Bottle 22 oz",Strawberry Syrup
586083289,"Fresh Sliced Baby Bella Mushrooms, 8 oz",Mushrooms
125386570,"Jimmy Dean Simple Scrambles Meat Lovers Quick Breakfast Cup, 5.35 oz",Breakfast Cup
185684489,"YumEarth Strawberry Licorice Candy, Organic & Gluten Free, 5 oz Bag",Licorice Candy
1819823437,Fun Pops Merchandise,Merchandise
21081233,Hsy ChocSyrup 24oz,Chocolate Syrup
12166190,"Birds Eye Steamfresh Roasted Red Potato Blend, Frozen, 10 oz",Frozen Vegetables
1255007551,"Brach's Classic Candy Corn, Original Halloween Candy Corn, 14 oz",Candy Corn
10307897,"Land O' Frost Premium Honey Smoked Turkey Breast, Deli Sliced, 1 lb, Resealable Plastic Pouch",Turkey Breast
19757588,"Utz Potato Stix, Gluten-Free, 15 oz Canister",Potato Snacks
10535216,"Coca-Cola Soda Pop, 12 fl oz, 24 Pack Cans",Soda
10452327,"Airheads Halloween Candy Variety Bag, Individually Wrapped Assorted Fruit Mini Bars, 12 oz",Candy Variety Bag
55326898,"Jack Daniel's Country Cocktails Southern Peach, 6 Pack, 10 fl. oz Bottles",Alcoholic Beverage
10535226,"Sprite Lemon Lime Soda Pop, 12 fl oz, 24 Pack Cans",Soda
479601462,"All Natural* 80% Lean/20% Fat Ground Beef Chuck, 1 lb Tray",Ground Beef
519253793,"Mars Mixed M&M's, Snickers & Twix Milk Chocolate Halloween Candy - 56 Ct Bulk Bag",Halloween Candy
117758209,"Jack Daniel's Country Cocktails Downhome Punch, 6 Pack, 10 oz Bottles",Alcoholic Beverage
23816525,"Great Value Hickory Smoked Bacon, 12 oz",Bacon
698124662,Tootsie Pops Halloween Candy 25.2 oz / 40 Lollipops,Lollipops
49932974,"Jack Daniel's Country Cocktails, Black Jack Cola, 6 Pack, 10 fl oz Bottles, 4.8% ABV",Alcoholic Beverage
727725479,"Uno Mas Lime Margarita Wine Cocktail, 13.9% ABV, 1.5L Glass Bottle, 10-150ml Servings",Margarita Cocktail
38323273,"Airheads Chewy Halloween Candy Bars, Assorted Flavors, 33 oz, 60 Count",Candy Bars
566616647,"Rancho La Gloria Strawberry Margarita Wine Cocktail, 13.9% ABV, 750ml Glass Bottle, 5-150ml Servings",Margarita Wine Cocktail
10311871,"Reese's Peanut Butter Baking Chips, Bag 10 oz",Baking Chips
645956053,"Uno Mas Strawberry Margarita Wine Cocktail, 13.9% ABV, 1.5L Glass Bottle, 10-150ml Servings",Wine Cocktail
151857624,"Parmalat Whole Milk, 32 fl oz (Shelf-Stable)",Whole Milk
663403068,"Snickers Fun Size Halloween Chocolate Candy Bars, 18.71oz Bag",Chocolate Candy Bars
346296935,"Rancho La Gloria, Blueberry Margarita Cocktail, 13.9% ABV, 750ml Glass Bottle, 5-150ml Servings",Margarita Cocktail
10535678,"Twizzlers Twists Strawberry Candy, Bag 16 oz",Strawberry Candy
24100302,"Nestle Nesquik Chocolate Lowfat Milk, Ready to Drink, 14 fl oz",Chocolate Milk
44391528,"Daily's Strawberry Frozen Daiquir Cocktail, 10 fl oz Pouch",Frozen Daiquiri Cocktail
262759965,"Fun Dip Candy, Halloween Trick or Treat Razz Apple Magic Dip & Cherry Yum Diddly Dip Candy Pouches, 44 ct",Candy Pouches
529164161,"Parmalat 2% Reduced Fat Milk, 32 fl oz (Shelf-Stable)",Reduced Fat Milk
32866076,"Master of Mixes Margarita Salt, 8 oz",Margarita Salt
370689335,"Payday Peanut Caramel Snack Size, Halloween Candy Bars Bag, 11.6 oz",Candy Bars
440393546,"Parmalat Lactose Free 2% Reduced Fat Milk, 32 fl oz",Lactose-Free Milk
151423051,"Jack Daniel's Country Cocktails Watermelon Punch, 23.5 fl. oz Can",Watermelon Punch
10450115,"Great Value 2% Reduced Fat Milk, 128 Fl Oz",Milk
37344886,"Kathy Kaye's Halloween Sweet & Salty Popcorn Balls, 12 Ct",Popcorn Balls
791878755,"Rancho La Gloria, Mango Margarita Wine Cocktail, 13.9% ABV, 750ml Glass Bottle, 12 - 25oz servings",Margarita Wine Cocktail
10450114,"Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",Milk
45589842,"Jolly Rancher Assorted Fruit Flavors Hard Candy, Resealable Bag 14 oz",Hard Candy
33631789,"Mr & Mrs T Strawberry Daiquiri Margarita Mix, 1 L, Bottle",Margarita Mix
10450119,"Great Value 2% Reduced Fat Milk, Half Gallon, 64 fl oz",Reduced Fat Milk
971966956,"Almond Joy Coconut and Almond Chocolate Snack Size, Halloween Candy Bars Bag, 11.3 oz",Chocolate Candy
38253452,"Juicy Drop Pop Sweet Lollipops Candy with Sour Liquid, Assorted Flavors, .92oz",Lollipops
778696665,"Uno Mas Peach Margarita Wine Cocktail, 13.9% ABV, 1.5L Glass Bottle, 10-150ml Servings",Margarita Cocktail
10450118,"Great Value Whole Vitamin D Milk, Half Gallon, 64 fl oz",Milk
825009478,"Sola Low Carb, No Added Sugar Sweet & Buttery Sliced Bread, 14 oz",Low Carb Bread
10450116,"Great Value 1% Low Fat Milk, Gallon, 128 fl oz",Low Fat Milk
805757813,"Kit Kat Milk Chocolate Snack Size, Halloween Wafer Candy Bars Bag, 10.78 oz",Chocolate Candy
515134396,"Rancho La Gloria, Lime Margarita Cocktail, 13.9% ABV, 750ml Glass Bottle, 5-150ml Servings",Margarita Cocktail
170476642,"Dave's Killer Bread 21 Whole Grains and Seeds Thin-Sliced Organic Bread Loaf, 20.5 oz",Organic Bread
361514169,"Life Savers Wint-O-Green Breath Mint Hard Candy, Party Size - 44.93 oz",Breath Mint Candy
322811181,Charms Blow Pops Halloween Creepy Treats Assorted Lollipops 24.75 oz / 45 Ct,Lollipops
10450117,"Great Value Fat Free Milk, Gallon, 128 fl oz",Milk
195808385,"Mr & Mrs T Pina Colada Mix, 1 L, Bottle",Pina Colada Mix
1916994209,"OREO Double Stuf Chocolate Sandwich Cookies, Family Size, 18.71 oz",Chocolate Sandwich Cookies
468733578,"Life Savers 5 Flavors Hard Candy, Party Size - 50 oz Bag",Hard Candy
39980008,"Hiland 2% Reduced Fat Milk, Gallon, 128 fl oz",Milk
277123898,"Reese's Milk Chocolate Peanut Butter Snack Size, Halloween Cups Candy Jumbo Bag, 19.5 oz",Candy
124948323,"Jack Daniel's Country Cocktails Downhome Punch, 23.5 oz Can",Alcoholic Beverage
308444649,"Tootsie Roll Pops Assorted Flavors, 10.12 Oz",Lollipops
811955503,"Nature's Own Perfectly Crafted Brioche Style Hamburger Buns, 18 oz, 8 Count",Hamburger Buns
449929500,"Werthers Original Hard Caramel Candy, 12 Oz",Caramel Candy
449594215,"Rancho La Gloria, Mango Margarita Cocktail, 13.9% ABV, 1.5L Glass Bottle, 10-150ml Servings",Margarita Cocktail
39980007,"Hiland 2% Reduced Fat Milk, Half Gallon, 64 fl oz",Milk
1415899082,"Dum Dums Original Pops Allergen-Free, Assorted Flavor Lollipops Halloween Candy 11.5 oz. Bag",Lollipops
10315752,"Great Value White Sandwich Bread, 20 oz",Sandwich Bread
10315355,"Great Value White Round Top Bread Loaf, 20 oz",Bread
829702339,"Rancho La Gloria, Strawberry Margarita Wine Cocktail, 13.9% ABV, 1.5L Glass Bottle, 10 - 150ml Servings",Wine Cocktail
44391061,"Hiland Whole Vitamin D Milk, Gallon, 128 fl oz",Milk
38385901,"Rice Krispies Treats Original Chewy Mini Marshmallow Snack Bars, 23.2 oz",Snack Bars
292568806,"Life Savers Wint-O-Green Breath Mints Hard Candy, Sharing Size - 13 oz",Breath Mints
10450104,"Great Value Hamburger Buns, 8 Count, 11 oz",Hamburger Buns
586201809,"Rancho La Gloria, Lime Margarita Cocktail, 13.9% ABV, 1.5L Glass Bottle, 10-150ml Servings",Margarita Cocktail
44391121,"Great Value 1% Low Fat Chocolate Milk, Half Gallon, 64 fl oz",Chocolate Milk
723867836,"Tyson Tender & Juicy Extra Meaty Fresh Pork Baby Back Ribs, 2.9 - 4.0 lb",Pork Ribs
44391320,"Tyson Tender & Juicy Fresh Pork St. Louis Style Spareribs, 3.3 - 4.5 lb",Pork Spareribs
44391039,"Honeysuckle White® 97% Fat Free Ground White Turkey Tray, 1.25 lbs",Ground Turkey
44419698,"Honeysuckle White® 85% Lean / 15% Fat Ground Turkey Tray, 1.25 lbs",Ground Turkey
145051970,"Great Value Large White Eggs, 12 Count",Eggs
152957896,"SOUR PATCH KIDS and SWEDISH FISH Mini Soft & Chewy Candy Variety Pack, 18 - 2 oz Bags",Candy Variety Pack
10291583,"Diet Coke Soda Pop, 12 fl oz, 24 Pack Cans",Soda
23597987,"Kellogg's Special K Chocolate Peanut Butter Chewy Protein Meal Bars, 19 oz, 12 Count",Protein Bars
462341763,"Health-Ade Probiotic Kombucha Tea, Pink Lady Apple, 16 fl oz",Kombucha
408003847,"Funables Paw Patrol Movie Fruit Flavored Fruit Snacks, 0.8 oz, 22 count",Fruit Snacks
37911088,"Orville Redenbacher's Movie Theater Butter Microwave Popcorn, 3.29 Oz, 12 Ct",Microwave Popcorn
555295433,Mars Mixed Snickers & More Assorted Chocolate Minis Bulk Halloween Candy-61.85oz/225pc,Halloween Candy
42700681,"Stonyfield Organic Kids Whole Milk Yogurt Pouches, Strawberry Beet Berry, 3.5 oz., 4 Ct",Yogurt Pouches
24705325,"Stonyfield Organic Lowfat Yogurt Smoothies, Strawberry Banana, 3.1 fl. Oz., 6 Ct",Yogurt Smoothies
1243832418,"Hershey Assorted Chocolate Flavored Halloween Candy, Variety Bag 33.3 oz, 90 Pieces",Halloween Candy
49463965,KeVita Lemon Ginger Sparkling Probiotic 15.2 oz Bottle,Sparkling Probiotic
2398307050,"Hershey Assorted Chocolate Flavored Miniatures Halloween Candy, Bulk Bag 46.17 oz, 155 Pieces",Halloween Candy
462351429,Kingsford Baby Back Ribs 24oz,Baby Back Ribs
759166934,"Kingsford Match Light Instant Charcoal Briquettes, 12 lb",Charcoal Briquettes
2737169402,"Hershey Assorted Milk Chocolate and Fruit Flavored Halloween Candy, Variety Bag 78.5 oz, 275 Pieces",Halloween Candy
10450133,"Great Value Hot Dog Buns, White, 11 oz, 8 Count",Hot Dog Buns
13908162,"Butterball Smoked Sausage, 13oz.",Smoked Sausage
2499863981,"Hershey Assorted Chocolate Flavored Mini Halloween Candy, Bulk Variety Bag 53.34 oz, 185 Pieces",Halloween Candy
2830849027,"Reese's and Kit Kat Assorted Milk Chocolate Snack Size Halloween Candy, Bulk Bag 43.65 oz, 80 Pieces",Halloween Candy
16777398,"7UP Zero Sugar Lemon Lime Soda, 12 fl oz cans, 12 pack",Lemon Lime Soda
55522122,"Old Wisconsin Gluten Free Turkey Sausage Sticks, 28 Oz",Turkey Sausage Sticks
992524020,"Great Value Purified Drinking Water, 16.9 fl oz Bottles, 40 Count",Drinking Water
1584437352,"Tootsie Roll Child's Play - Individually Wrapped Party Candy - Funtastic Candy Variety Mix Bag - Peanut Free, Gluten Free - 45.4 oz bag",Candy Variety Mix
10316057,"Johnsonville Original Breakfast Sausage, 14 Links, 12 oz (Fresh)",Breakfast Sausage
15529427,"Heinz Tomato Ketchup, 32 oz Bottle",Ketchup
613823324,"Freshness Guaranteed Fresh Chicken Drumsticks, 19g Protein per 4oz Serving, 5 lb",Chicken Drumsticks
1654255732,"Hershey Assorted Chocolate Flavored Halloween Candy, Variety Bag 29.52 oz, 100 Pieces",Halloween Candy
10290749,"Bar S Classic Franks, 12 oz, 8 Count",Hot Dogs
10292862,Red Baron Frozen Pizza French Bread Pepperoni,Frozen Pizza
2002689616,"Hershey Assorted Chocolate Flavored Miniatures Halloween Candy, Variety Bag 65.47 oz, 230 Pieces",Halloween Candy
10311875,"Hershey's Strawberry Syrup, Bottle 22 oz",Strawberry Syrup
586083289,"Fresh Sliced Baby Bella Mushrooms, 8 oz",Mushrooms
125386570,"Jimmy Dean Simple Scrambles Meat Lovers Quick Breakfast Cup, 5.35 oz",Breakfast Cup
185684489,"YumEarth Strawberry Licorice Candy, Organic & Gluten Free, 5 oz Bag",Licorice Candy
1819823437,Fun Pops Merchandise,Merchandise
21081233,Hsy ChocSyrup 24oz,Chocolate Syrup
12166190,"Birds Eye Steamfresh Roasted Red Potato Blend, Frozen, 10 oz",Frozen Vegetables
1255007551,"Brach's Classic Candy Corn, Original Halloween Candy Corn, 14 oz",Candy Corn
10307897,"Land O' Frost Premium Honey Smoked Turkey Breast, Deli Sliced, 1 lb, Resealable Plastic Pouch",Turkey Breast
19757588,"Utz Potato Stix, Gluten-Free, 15 oz Canister",Potato Snacks
10535216,"Coca-Cola Soda Pop, 12 fl oz, 24 Pack Cans",Soda
10452327,"Airheads Halloween Candy Variety Bag, Individually Wrapped Assorted Fruit Mini Bars, 12 oz",Candy Variety Bag
55326898,"Jack Daniel's Country Cocktails Southern Peach, 6 Pack, 10 fl. oz Bottles",Alcoholic Beverage
10535226,"Sprite Lemon Lime Soda Pop, 12 fl oz, 24 Pack Cans",Soda
479601462,"All Natural* 80% Lean/20% Fat Ground Beef Chuck, 1 lb Tray",Ground Beef
519253793,"Mars Mixed M&M's, Snickers & Twix Milk Chocolate Halloween Candy - 56 Ct Bulk Bag",Halloween Candy
117758209,"Jack Daniel's Country Cocktails Downhome Punch, 6 Pack, 10 oz Bottles",Alcoholic Beverage
23816525,"Great Value Hickory Smoked Bacon, 12 oz",Bacon
698124662,Tootsie Pops Halloween Candy 25.2 oz / 40 Lollipops,Lollipops
49932974,"Jack Daniel's Country Cocktails, Black Jack Cola, 6 Pack, 10 fl oz Bottles, 4.8% ABV",Alcoholic Beverage
727725479,"Uno Mas Lime Margarita Wine Cocktail, 13.9% ABV, 1.5L Glass Bottle, 10-150ml Servings",Margarita Cocktail
38323273,"Airheads Chewy Halloween Candy Bars, Assorted Flavors, 33 oz, 60 Count",Candy Bars
566616647,"Rancho La Gloria Strawberry Margarita Wine Cocktail, 13.9% ABV, 750ml Glass Bottle, 5-150ml Servings",Margarita Wine Cocktail
10311871,"Reese's Peanut Butter Baking Chips, Bag 10 oz",Baking Chips
645956053,"Uno Mas Strawberry Margarita Wine Cocktail, 13.9% ABV, 1.5L Glass Bottle, 10-150ml Servings",Wine Cocktail
151857624,"Parmalat Whole Milk, 32 fl oz (Shelf-Stable)",Whole Milk
663403068,"Snickers Fun Size Halloween Chocolate Candy Bars, 18.71oz Bag",Chocolate Candy Bars
346296935,"Rancho La Gloria, Blueberry Margarita Cocktail, 13.9% ABV, 750ml Glass Bottle, 5-150ml Servings",Margarita Cocktail
10535678,"Twizzlers Twists Strawberry Candy, Bag 16 oz",Strawberry Candy
24100302,"Nestle Nesquik Chocolate Lowfat Milk, Ready to Drink, 14 fl oz",Chocolate Milk
44391528,"Daily's Strawberry Frozen Daiquir Cocktail, 10 fl oz Pouch",Frozen Daiquiri Cocktail
262759965,"Fun Dip Candy, Halloween Trick or Treat Razz Apple Magic Dip & Cherry Yum Diddly Dip Candy Pouches, 44 ct",Candy Pouches
529164161,"Parmalat 2% Reduced Fat Milk, 32 fl oz (Shelf-Stable)",Reduced Fat Milk
32866076,"Master of Mixes Margarita Salt, 8 oz",Margarita Salt
370689335,"Payday Peanut Caramel Snack Size, Halloween Candy Bars Bag, 11.6 oz",Candy Bars
440393546,"Parmalat Lactose Free 2% Reduced Fat Milk, 32 fl oz",Lactose-Free Milk
151423051,"Jack Daniel's Country Cocktails Watermelon Punch, 23.5 fl. oz Can",Watermelon Punch
10450115,"Great Value 2% Reduced Fat Milk, 128 Fl Oz",Milk
37344886,"Kathy Kaye's Halloween Sweet & Salty Popcorn Balls, 12 Ct",Popcorn Balls
791878755,"Rancho La Gloria, Mango Margarita Wine Cocktail, 13.9% ABV, 750ml Glass Bottle, 12 - 25oz servings",Margarita Wine Cocktail
10450114,"Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",Milk
45589842,"Jolly Rancher Assorted Fruit Flavors Hard Candy, Resealable Bag 14 oz",Hard Candy
33631789,"Mr & Mrs T Strawberry Daiquiri Margarita Mix, 1 L, Bottle",Margarita Mix
10450119,"Great Value 2% Reduced Fat Milk, Half Gallon, 64 fl oz",Reduced Fat Milk
971966956,"Almond Joy Coconut and Almond Chocolate Snack Size, Halloween Candy Bars Bag, 11.3 oz",Chocolate Candy
38253452,"Juicy Drop Pop Sweet Lollipops Candy with Sour Liquid, Assorted Flavors, .92oz",Lollipops
778696665,"Uno Mas Peach Margarita Wine Cocktail, 13.9% ABV, 1.5L Glass Bottle, 10-150ml Servings",Margarita Cocktail
10450118,"Great Value Whole Vitamin D Milk, Half Gallon, 64 fl oz",Milk
825009478,"Sola Low Carb, No Added Sugar Sweet & Buttery Sliced Bread, 14 oz",Low Carb Bread
10450116,"Great Value 1% Low Fat Milk, Gallon, 128 fl oz",Low Fat Milk
805757813,"Kit Kat Milk Chocolate Snack Size, Halloween Wafer Candy Bars Bag, 10.78 oz",Chocolate Candy
515134396,"Rancho La Gloria, Lime Margarita Cocktail, 13.9% ABV, 750ml Glass Bottle, 5-150ml Servings",Margarita Cocktail
26524572,"Airheads Xtremes Belts Candy, Rainbow Berry, 4.5 oz",Candy
704322239,"Fever-Tree Sparkling Pink Grapefruit Bottles, 4pk/6.8 fl oz",Sparkling Grapefruit
1117462563,Frankford Mega Brands Halloween Mix Assorted Flavor Variety Candy 2.5 lbs,Halloween Candy
44391178,"Hiland Whole Vitamin D Milk, Half Gallon, 64 fl oz",Milk
10312333,"Dum Dums Free of Major Allergens Original Flavor Mix Lollipops, Party Candy, 16 oz. Bag",Lollipops
10448112,"Werthers Original Hard Caramel Candy, 5.5 oz",Candy
10450211,"Sunbeam Giant White Bread, Sliced Sandwich Bread Loaf, 24 oz",White Bread
17248403,"Great Value 1% Low Fat Chocolate Milk, Gallon, 128 fl oz",Chocolate Milk
1783746237,"Hershey Assorted Halloween Candy, Variety Bag 27.59 oz, 95 Pieces",Halloween Candy
401867604,Uptown Cocktails Strawbry Margarita 1.5l,Cocktails
10804537,"Great Value 1% Low-Fat Milk, Half Gallon, 64 fl oz",Low-Fat Milk
866916264,"Rancho La Gloria, Peach Margarita Wine Cocktail, 13.9% ABV, 750ml Glass Bottle, 5-150ml Servings",Margarita Wine Cocktail
2937032307,"Hershey Assorted Snack Size Halloween Candy, Variety Bag 13.13 oz, 25 Pieces",Halloween Candy
44391070,"Great Value Honey Wheat Bread, 20 oz",Bread
38253374,Altoids Classic Peppermint Breath Mints Hard Candy - 1.76 oz Tin,Breath Mints
49342184,"Dave's Killer Bread 21 Whole Grains and Seeds Organic Bread Loaf, 27 oz",Organic Bread
43346761,"Hiland Vitamin D Milk, 16 Oz.",Milk
735834079,"Life Savers Pep-O-Mint Breath Mints Hard Candy, Party Size - 44.93 oz",Breath Mints
1048766960,"Jolly Rancher 2-in-1 Fruit Flavored Hard Candy, Bag 6.5 oz",Hard Candy
2251076265,"Brach's Kiddie Mix Chewy Lemonhead Fruit Mix, Lemonhead Pops, Leamonhead, Now and Later, Everlasting Gobstopper, and Chuckles Candy 70 count",Candy Mix
37858875,"Wonder Bread Classic White Sandwich Bread, Sliced White Bread, 20 oz",Sandwich Bread
10450120,"Great Value Skim Fat Free Milk, Half Gallon, 64 fl oz",Skim Milk
857553744,3PK TRIDENT BUBBLEGUM 42PC,Bubblegum
1457438583,"Werther's Original Hard Caramel Candy, 30 oz",Caramel Candy
874331618,Milky Way Fun Size Halloween Chocolate Candy Bars - 10.65oz Bag,Chocolate Candy Bars
211330549,3 PK TRIDENT GUM SPEARMINT SUGAR FREE 42PC,Gum
44391115,"Hiland Premium Chocolate Milk, Half Gallon, 64 fl oz",Chocolate Milk
24447274,"Freshness Guaranteed Mini Pecan Pie, 4 oz",Pecan Pie
609172592,"Charms Blow Pop, Gluten Free, Assorted Flavors Bubble Gum Lollipops, 46.75 oz Resealable Bag",Lollipops
881672776,3 Musketeers Spooky Halloween Fun Size Chocolate Candy - 10.48 oz Bag,Halloween Candy
14336404,"Great Value Creme Filled Swiss Rolls Snack Cakes, 13 oz, 6 Count",Snack Cakes
43269799,"Hiland 2% Reduced Fat Milk, 1 Quart",Milk
461817588,TRIDENT TROPICAL TWIST SUGAR FREE GUM 42 CT,Sugar-Free Gum
117301812,Twix Fun Size Halloween Chocolate Candy Bars - 18.28 oz Bag,Chocolate Candy Bars
106667580,"Ice Breakers Ice Cubes Spearmint Sugar Free Chewing Gum, Pouch 8.11 oz, 100 Pieces",Chewing Gum
987641021,"Freshness Guaranteed Bavarian Creme Filled Bismarck Doughnuts, 4 oz, 2 Count",Doughnuts
1418774954,"Jolly Rancher Original Fruit Flavored Hard Candy, Resealable Family Pack 27 oz",Hard Candy
10801787,"Southern Comfort Traditional Egg Nog, 32 oz",Egg Nog
2812046906,"Hershey Assorted Milk Chocolate and Fruit Flavored Mini Halloween Candy, Bag 13.92 oz, 45 Pieces",Halloween Candy
20918402,"Extra Sweet Watermelon Sugar Free Chewing Gum, Single Pack - 15 Stick",Chewing Gum
43269798,"Hiland Vitamin D Milk, 1 Quart",Milk
182708238,Munch Peanut Brittle Bites - 4.0 oz Bag,Peanut Brittle
24447269,"Freshness Guaranteed Mini Cherry Pie, 4 oz",Cherry Pie
10534163,"Great Value Evaporated Milk, 12 Fl Oz",Evaporated Milk
10449892,"Kit Kat Milk Chocolate Wafer Snack Size Halloween Candy, Jumbo Bag 20.1 oz",Halloween Candy
328869537,"Freshness Guaranteed Sliced Plain Italian Bread, 14 oz",Italian Bread
38253376,"Bubble Yum Original Flavored Bubble Gum, Pack 2.82 oz, 10 Pieces",Bubble Gum
26524571,"Mentos Chewy Mint Candy Roll, Peppermint, Peanut Free, 1.32 oz, 6 Count",Mint Candy
21623796,Skittles Original Fun Size Chewy Halloween Candy - 10.72oz,Halloween Candy
43984343,"fairlife Lactose Free 2% Reduced Fat Ultra Filtered Milk, 52 fl oz",Lactose Free Milk
606426732,"Freshness Guaranteed 4"" Mini Cinnamon Cake, 2.4 oz Box",Cinnamon Cake
1899605805,"Jolly Rancher Assorted Fruit Flavored Hard Candy, Bulk Bag 50 oz",Hard Candy
693667245,"Freshness Guaranteed Apple Fritters, 2 Count",Apple Fritters
33282212,"Tic Tac Mints, Fruit Adventure, Bottle Pack, 3.4 oz",Mints
339284870,"Tic Tac Fresh Mint Breath Mints, on the Go Refreshment, 1.7 oz, Single Pack",Breath Mints
38253367,"Ice Breakers Ice Cubes Spearmint Sugar Free Chewing Gum, Bottle 3.24 oz, 40 Pieces",Chewing Gum
10534165,Great Value Sweetened Condensed Milk 14 oz.,Condensed Milk
170476642,"Dave's Killer Bread 21 Whole Grains and Seeds Thin-Sliced Organic Bread Loaf, 20.5 oz",Organic Bread
361514169,"Life Savers Wint-O-Green Breath Mint Hard Candy, Party Size - 44.93 oz",Breath Mint Candy
322811181,Charms Blow Pops Halloween Creepy Treats Assorted Lollipops 24.75 oz / 45 Ct,Lollipops
10450117,"Great Value Fat Free Milk, Gallon, 128 fl oz",Milk
195808385,"Mr & Mrs T Pina Colada Mix, 1 L, Bottle",Pina Colada Mix
1916994209,"OREO Double Stuf Chocolate Sandwich Cookies, Family Size, 18.71 oz",Chocolate Sandwich Cookies
468733578,"Life Savers 5 Flavors Hard Candy, Party Size - 50 oz Bag",Hard Candy
39980008,"Hiland 2% Reduced Fat Milk, Gallon, 128 fl oz",Milk
277123898,"Reese's Milk Chocolate Peanut Butter Snack Size, Halloween Cups Candy Jumbo Bag, 19.5 oz",Candy
124948323,"Jack Daniel's Country Cocktails Downhome Punch, 23.5 oz Can",Alcoholic Beverage
308444649,"Tootsie Roll Pops Assorted Flavors, 10.12 Oz",Lollipops
811955503,"Nature's Own Perfectly Crafted Brioche Style Hamburger Buns, 18 oz, 8 Count",Hamburger Buns
449929500,"Werthers Original Hard Caramel Candy, 12 Oz",Caramel Candy
