ID,Parent_ID,Value
167,160,Vegetable juice
168,161,Diet soft drinks
169,161,Diet sport and energy drinks
170,161,Other diet drinks
171,162,Soft drinks
172,162,Fruit drinks
173,162,Sport and energy drinks
174,162,Nutritional beverages
175,162,Smoothies and grain drinks
176,163,Coffee
177,163,Tea
178,1,Alcoholic Beverages
179,1,Water
180,178,Beer
181,178,Wine
182,178,Liquor and cocktails
183,179,Plain Water
184,179,Flavored or Enhanced Water
185,183,Tap water
186,183,Bottled water
187,184,Flavored or carbonated water
188,184,Enhanced water
189,7,Fats and Oils
190,7,Condiments and Sauces
191,189,Butter and animal fats
192,189,Margarine
193,189,"Cream cheese, sour cream, whipped cream"
194,189,Cream and cream substitutes
195,189,Mayonnaise
196,189,Salad dressings and vegetable oils
197,190,Tomato-based condiments
198,190,Soy-based condiments
199,190,Mustard and other condiments
200,190,"Olives, pickles, pickled vegetables"
201,190,"Pasta sauces, tomato-based"
202,190,"Dips, gravies, other sauces"
203,7,Sugars
204,1,Baby Foods and Formulas
205,203,Other
206,203,Sugars and honey
207,203,Sugar substitutes
208,203,"Jams, syrups, toppings"
209,204,Baby Foods
210,204,Baby Beverages
211,204,Infant Formulas
212,204,Human milk
213,209,Baby food: cereals
214,209,Baby food: fruit
215,209,Baby food: vegetable
216,209,Baby food: meat and dinners
217,209,Baby food: yogurt
218,209,Baby food: snacks and sweets
219,210,Baby juice
220,210,Baby water
221,211,"Formula, ready-to-feed"
222,211,"Formula, prepared from powder"
223,211,"Formula, prepared from concentrate"
224,212,Human milk
225,7,Protein and nutritional powders
226,1,Not included in a food category
227,204,Baby food: mixtures
228,51,Deli and cured meat sandwiches
229,51,Meat and BBQ sandwiches
230,51,Vegetable sandwiches/burgers
