Product Name,UPC Code,Serving Size,Serving Size Unit,Product Size,Price,Protein,Total lipid (fat),"Carbohydrate, by difference",Energy - kcal,Energy - kJ,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin A, IU",Vitamin E (alpha-tocopherol),"Vitamin D (D2 + D3), International Units",Vitamin E,"Vitamin C, total ascorbic acid",Thiamin	Riboflavin,Niacin,Vitamin K (phylloquinone),Folic acid,"Choline, total","Sugars, total including NLEA","Fatty acids, total trans","Fatty acids, total saturated",Vitamin B-6,Vitamin B-12,"Sugars, added",Category
Mars Mixed Snickers & More Assorted Chocolate Minis Bulk Halloween Candy-61.85oz/225pc,40000573807,,,,21.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Halloween Candy
"Stonyfield Organic Kids Whole Milk Yogurt Pouches, Strawberry Beet Berry, 3.5 oz., 4 Ct",52159701116,99.0,g,3.5 oz,5.98,5.05,3.54,12.1,101.0,101.0,0.0,152.0,0.0,,,212.0,81.0,,,,,,,,,,,,9.09,0.0,2.02,,,4.0,Yogurt Pouches
"Stonyfield Organic Lowfat Yogurt Smoothies, Strawberry Banana, 3.1 fl. Oz., 6 Ct",52159700829,,,,4.34,3.39,1.13,13.6,79.0,79.0,0.0,113.0,0.0,9.0,85.0,164.0,48.0,,56.0,,34.0,,0.0,,,,,,13.0,0.0,0.56,0.023,0.34,,Yogurt Smoothies
"Hershey Assorted Chocolate Flavored Halloween Candy, Variety Bag 33.3 oz, 90 Pieces",34000943722,,,,9.94,7.69,26.9,61.5,500.0,500.0,3.8,115.0,2.69,,,327.0,269.0,,,,,,,,,,,,53.8,0.0,11.5,,,50.0,Halloween Candy
KeVita Lemon Ginger Sparkling Probiotic 15.2 oz Bottle,853311003006,240.0,ml,450 mL,2.98,0.0,0.0,4.58,17.0,17.0,,,,,,,6.0,,,,,,,,,,,,3.75,,,,,,Sparkling Probiotic
"Hershey Assorted Chocolate Flavored Miniatures Halloween Candy, Bulk Bag 46.17 oz, 155 Pieces",34000952557,,,17.1 oz,16.98,5.88,29.4,61.8,500.0,500.0,2.9,118.0,4.12,,,412.0,88.0,,,,0.0,,,,,,,,52.9,0.0,17.6,,,47.1,Halloween Candy
Kingsford Baby Back Ribs 24oz,792338818265,140.0,g,,14.22,18.8,9.82,0.0,170.0,170.0,0.0,26.0,0.84,,,268.0,94.0,,0.0,,,,0.0,,,,,,0.0,0.0,3.57,,,,Baby Back Ribs
"Kingsford Match Light Instant Charcoal Briquettes, 12 lb",44600320908,,,10 fl oz/296 mL,9.82,0.0,0.0,1.69,5.0,5.0,0.3,17.0,0.0,,,,0.0,,0.0,,,,1.2,,,,,,1.35,0.0,0.0,,,,Charcoal Briquettes
"Hershey Assorted Milk Chocolate and Fruit Flavored Halloween Candy, Variety Bag 78.5 oz, 275 Pieces",34000944033,,,,21.97,5.88,26.5,64.7,500.0,500.0,2.9,88.0,2.35,,,206.0,44.0,,,,,,,,,,,,52.9,0.0,14.7,,,50.0,Halloween Candy
"Great Value Hot Dog Buns, White, 11 oz, 8 Count",78742097282,43.0,g,,1.38,9.77,3.91,50.1,279.0,279.0,1.8,144.0,3.43,23.0,101.0,122.0,494.0,0.73,,0.27,,,1.3,,4.18,4.8,53.0,14.6,7.28,,0.842,0.063,0.2,,Hot Dog Buns
"Butterball Smoked Sausage, 13oz.",22655306054,56.0,g,,3.47,12.0,28.2,0.94,,,0.0,11.0,0.59,11.0,157.0,483.0,827.0,1.31,0.0,0.25,43.0,,0.0,,2.81,0.0,0.0,61.1,0.94,0.231,9.31,0.179,0.66,,Smoked Sausage
"Hershey Assorted Chocolate Flavored Mini Halloween Candy, Bulk Variety Bag 53.34 oz, 185 Pieces",34000943876,,,80.36 oz,16.98,0.0,8.62,82.8,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,,,,,,,55.2,0.0,8.62,,,55.2,Halloween Candy
"Reese's and Kit Kat Assorted Milk Chocolate Snack Size Halloween Candy, Bulk Bag 43.65 oz, 80 Pieces",34000952540,,,,16.98,6.24,27.8,63.6,520.0,520.0,1.9,138.0,0.84,2.0,112.0,294.0,64.0,0.07,92.0,,,,1.3,,0.18,,,,54.0,0.0,18.0,0.0,,,Halloween Candy
"7UP Zero Sugar Lemon Lime Soda, 12 fl oz cans, 12 pack",78000011814,,,12 fl oz,5.38,0.0,0.0,10.7,39.0,39.0,,,,,,,18.0,,,,,,,,,,,,10.7,,,,,10.7,Lemon Lime Soda
"Old Wisconsin Gluten Free Turkey Sausage Sticks, 28 Oz",73170327000,25.0,g,4.2 oz/120 g,14.98,20.0,16.7,6.67,267.0,267.0,0.0,0.0,2.4,,,,1070.0,,0.0,,,,0.0,,,,,,0.0,0.0,6.67,,,,Turkey Sausage Sticks
"Great Value Purified Drinking Water, 16.9 fl oz Bottles, 40 Count",78742279091,,,16.9 fl oz,5.36,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,Drinking Water
"Tootsie Roll Child's Play - Individually Wrapped Party Candy - Funtastic Candy Variety Mix Bag - Peanut Free, Gluten Free - 45.4 oz bag",71720174548,,,26 oz,9.94,0.0,0.0,81.8,318.0,318.0,0.0,0.0,0.0,,,0.0,23.0,,,,0.0,,,,,,,,50.0,0.0,0.0,,,50.0,Candy Variety Mix
"Johnsonville Original Breakfast Sausage, 14 Links, 12 oz (Fresh)",77782002768,55.0,g,,3.47,15.9,10.4,3.18,,,0.0,55.0,1.34,20.0,174.0,258.0,714.0,2.51,0.0,0.19,17.0,,0.0,,4.43,0.4,0.0,33.9,0.0,0.127,2.82,0.259,1.28,,Breakfast Sausage
"Heinz Tomato Ketchup, 32 oz Bottle",13000006057,17.0,g,32 oz,4.76,0.0,0.0,29.4,118.0,118.0,0.0,0.0,0.0,,,0.0,1060.0,,,,,,,,,,,,23.5,0.0,0.0,,,23.5,Ketchup
"Freshness Guaranteed Fresh Chicken Drumsticks, 19g Protein per 4oz Serving, 5 lb",681131090278,,,,4.94,19.6,8.93,0.0,161.0,161.0,0.0,18.0,0.96,,,,85.0,,89.0,,,,3.2,,,,,,0.0,0.0,2.23,,,,Chicken Drumsticks
"Hershey Assorted Chocolate Flavored Halloween Candy, Variety Bag 29.52 oz, 100 Pieces",34000952502,,,,9.94,3.7,1.85,77.8,333.0,333.0,0.0,0.0,1.11,,,148.0,222.0,,,,,,,,,,,,44.4,0.0,0.0,,,44.4,Halloween Candy
"Bar S Classic Franks, 12 oz, 8 Count",15900134014,42.0,g,,1.12,13.3,0.44,0.0,62.0,62.0,0.0,75.0,0.0,,,80.0,743.0,,0.0,,0.0,,0.0,,,,,,0.0,0.0,0.0,,,,Hot Dogs
Red Baron Frozen Pizza French Bread Pepperoni,72180632449,153.0,g,19.33 oz/547 g,3.92,10.2,8.76,32.8,248.0,248.0,1.5,109.0,2.63,,,190.0,650.0,,219.0,,,,1.8,,,,,,5.84,0.0,3.65,,,,Frozen Pizza
"Hershey Assorted Chocolate Flavored Miniatures Halloween Candy, Variety Bag 65.47 oz, 230 Pieces",34000943791,,,17.1 oz,21.97,5.88,29.4,61.8,500.0,500.0,2.9,118.0,4.12,,,412.0,88.0,,,,0.0,,,,,,,,52.9,0.0,17.6,,,47.1,Halloween Candy
"Hershey's Strawberry Syrup, Bottle 22 oz",34000003181,,,,3.27,1.4,0.97,34.6,,,0.0,11.0,0.0,36.0,54.0,187.0,100.0,0.48,0.0,0.01,0.0,,0.0,,0.178,0.2,0.0,0.8,28.6,,0.0,0.009,0.0,,Strawberry Syrup
"Fresh Sliced Baby Bella Mushrooms, 8 oz",37102170102,,,10 oz/284 g,2.28,2.35,0.0,4.71,24.0,24.0,1.2,24.0,0.0,,,447.0,6.0,,,,0.0,,,,,,,,1.18,0.0,0.0,,,,Mushrooms
"Jimmy Dean Simple Scrambles Meat Lovers Quick Breakfast Cup, 5.35 oz",77900650468,151.0,g,151.67 GRM,3.18,15.9,13.9,1.32,194.0,194.0,0.0,132.0,1.19,,,136.0,479.0,,,,,,,,,,,,0.66,0.0,6.62,,,0.1,Breakfast Cup
"YumEarth Strawberry Licorice Candy, Organic & Gluten Free, 5 oz Bag",810165019065,30.0,g,,3.82,0.0,0.0,98.9,396.0,396.0,0.1,3.0,0.4,1.0,1.0,5.0,44.0,0.0,,0.0,,,0.0,,0.01,0.0,0.0,0.0,59.0,,0.0,0.005,0.0,,Licorice Candy
Fun Pops Merchandise,71041203606,,,27 oz/0.77 kg,2.98,0.0,0.0,18.6,70.0,70.0,,,,,,,0.0,,,,,,,,,,,,16.3,,,,,,Merchandise
Hsy ChocSyrup 24oz,34000003129,,,,3.27,22.3,7.14,0.0,161.0,161.0,0.0,18.0,1.96,,,277.0,54.0,,0.0,,,,0.0,,,,,,0.0,0.0,2.68,,,,Chocolate Syrup
"Birds Eye Steamfresh Roasted Red Potato Blend, Frozen, 10 oz",14500012982,74.0,g,12 oz/340 g,2.5,2.27,0.57,12.5,68.0,68.0,2.3,0.0,0.0,,,,17.0,,852.0,,,,6.8,,,,,,4.55,0.0,0.0,,,,Frozen Vegetables
"Brach's Classic Candy Corn, Original Halloween Candy Corn, 14 oz",41420077104,,,1.5 oz/42 g,2.98,0.0,0.0,90.0,367.0,367.0,0.0,,,,,,100.0,,,,,,,,,,,,73.3,0.0,0.0,,,73.3,Candy Corn
"Land O' Frost Premium Honey Smoked Turkey Breast, Deli Sliced, 1 lb, Resealable Plastic Pouch",51900016059,50.0,g,16 oz/1 lbs/454 g,5.67,16.1,8.93,5.36,179.0,179.0,,,2.57,,,,1200.0,,,,,,,,5.36,,,,5.36,0.0,2.68,,,,Turkey Breast
"Utz Potato Stix, Gluten-Free, 15 oz Canister",41780070845,28.0,g,6.5 oz,4.47,7.14,39.3,50.0,571.0,571.0,3.6,0.0,2.57,,,,321.0,,,,,,32.1,,,,,,0.0,0.0,10.7,,,,Potato Snacks
"Coca-Cola Soda Pop, 12 fl oz, 24 Pack Cans",49000012781,,,12 fl oz,13.22,0.0,0.0,0.0,0.0,0.0,,,,,,17.0,11.0,,,,,,,,,,,,0.0,,,,,0.0,Soda
"Airheads Halloween Candy Variety Bag, Individually Wrapped Assorted Fruit Mini Bars, 12 oz",73390004590,34.0,g,14 oz/397 g,3.47,0.0,4.41,91.2,412.0,412.0,,,,,,,44.0,,,,,,,,,,,,55.9,0.0,2.94,,,,Candy Variety Bag
"Jack Daniel's Country Cocktails Southern Peach, 6 Pack, 10 fl. oz Bottles",82184203088,,,16.9 fl oz,8.98,0.0,0.0,12.5,46.0,46.0,,,,,,,33.0,,,,,,,,,,,,12.5,,,,,12.1,Alcoholic Beverage
"Sprite Lemon Lime Soda Pop, 12 fl oz, 24 Pack Cans",49000019384,,,12 fl oz,13.22,0.0,0.0,10.7,39.0,39.0,,,,,,,18.0,,,,,,,,,,,,10.7,,,,,10.7,Soda
"All Natural* 80% Lean/20% Fat Ground Beef Chuck, 1 lb Tray",78742269542,112.0,g,,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground Beef
"Mars Mixed M&M's, Snickers & Twix Milk Chocolate Halloween Candy - 56 Ct Bulk Bag",40000583981,,,23.77 oz,12.56,5.88,23.5,64.7,,,5.9,,2.35,,,0.0,265.0,,,,0.0,,,,,,,,52.9,0.0,11.8,,,52.9,Halloween Candy
"Jack Daniel's Country Cocktails Downhome Punch, 6 Pack, 10 oz Bottles",82184226018,,,10 fl oz,8.98,0.0,0.0,9.46,34.0,34.0,,,,,,,10.0,,,,,,,,,,,,9.46,,,,,9.5,Alcoholic Beverage
"Great Value Hickory Smoked Bacon, 12 oz",78742030890,21.0,g,,4.97,19.4,54.8,16.1,613.0,613.0,9.7,258.0,3.48,,,677.0,484.0,,0.0,,,,0.0,,,,,,3.23,0.0,4.84,,,,Bacon
Tootsie Pops Halloween Candy 25.2 oz / 40 Lollipops,71720358405,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lollipops
"Jack Daniel's Country Cocktails, Black Jack Cola, 6 Pack, 10 fl oz Bottles, 4.8% ABV",82184226056,,,3000 MLT,8.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,,,0.0,Alcoholic Beverage
"Uno Mas Lime Margarita Wine Cocktail, 13.9% ABV, 1.5L Glass Bottle, 10-150ml Servings",83103971019,,,296 mL,9.96,10.0,0.0,520.0,2900.0,2900.0,,,,,,,160.0,,1500.0,,,,12.0,,,,,,460.0,,,,,,Margarita Cocktail
"Airheads Chewy Halloween Candy Bars, Assorted Flavors, 33 oz, 60 Count",73390071011,31.0,g,14 oz/397 g,7.98,0.0,4.41,91.2,412.0,412.0,,,,,,,44.0,,,,,,,,,,,,55.9,0.0,2.94,,,,Candy Bars
"Rancho La Gloria Strawberry Margarita Wine Cocktail, 13.9% ABV, 750ml Glass Bottle, 5-150ml Servings",861518002630,,,,9.48,1.36,1.05,28.2,128.0,128.0,1.8,26.0,0.83,17.0,30.0,309.0,1260.0,0.38,359.0,1.08,0.0,,11.6,,0.82,4.4,0.0,11.0,11.8,,0.0,0.08,0.0,,Margarita Wine Cocktail
"Reese's Peanut Butter Baking Chips, Bag 10 oz",34000001446,,,,2.57,10.2,30.5,55.4,515.0,515.0,3.6,78.0,1.21,62.0,161.0,343.0,357.0,1.28,56.0,0.15,0.0,,0.3,,4.49,2.0,0.0,35.4,47.2,0.0,10.7,0.1,0.26,,Baking Chips
"Uno Mas Strawberry Margarita Wine Cocktail, 13.9% ABV, 1.5L Glass Bottle, 10-150ml Servings",83103971033,,,,8.96,1.36,1.05,28.2,128.0,128.0,1.8,26.0,0.83,17.0,30.0,309.0,1260.0,0.38,359.0,1.08,0.0,,11.6,,0.82,4.4,0.0,11.0,11.8,,0.0,0.08,0.0,,Wine Cocktail
"Parmalat Whole Milk, 32 fl oz (Shelf-Stable)",857065007013,240.0,ml,,2.98,0.555,1.22,0.337,,,0.0,173.0,0.29,6.78,29.8,30.8,59.6,0.172,,3.32,37.1,,,,0.0744,,,,,0.0,0.104,0.0,0.338,,Whole Milk
"Snickers Fun Size Halloween Chocolate Candy Bars, 18.71oz Bag",40000574187,17.0,g,10.36 oz,6.98,5.88,23.5,58.8,,,0.0,,0.0,,,0.0,235.0,,,,0.0,,,,,,,,52.9,0.0,8.82,,,47.1,Chocolate Candy Bars
"Rancho La Gloria, Blueberry Margarita Cocktail, 13.9% ABV, 750ml Glass Bottle, 5-150ml Servings",850012571919,,,,9.48,1.36,1.05,28.2,128.0,128.0,1.8,26.0,0.83,17.0,30.0,309.0,1260.0,0.38,359.0,1.08,0.0,,11.6,,0.82,4.4,0.0,11.0,11.8,,0.0,0.08,0.0,,Margarita Cocktail
"Twizzlers Twists Strawberry Candy, Bag 16 oz",34000560028,,,,3.44,2.56,2.32,79.2,348.0,348.0,0.0,0.0,0.51,,,,287.0,,0.0,,,,0.0,,,,,,39.6,,0.0,,,,Strawberry Candy
"Nestle Nesquik Chocolate Lowfat Milk, Ready to Drink, 14 fl oz",28000772123,240.0,ml,,1.48,3.46,1.11,10.2,64.0,64.0,0.1,129.0,0.23,13.0,96.0,172.0,65.0,0.43,,0.0,,,0.4,,0.124,0.1,0.0,17.0,9.94,,0.616,0.047,0.23,,Chocolate Milk
"Daily's Strawberry Frozen Daiquir Cocktail, 10 fl oz Pouch",74806184202,,,10 OZA,1.98,0.0,0.0,14.9,58.0,58.0,0.0,0.0,0.0,,,0.0,3.0,,,,,,20.3,,,,,,13.6,0.0,0.0,,,12.5,Frozen Daiquiri Cocktail
"Fun Dip Candy, Halloween Trick or Treat Razz Apple Magic Dip & Cherry Yum Diddly Dip Candy Pouches, 44 ct",79200215965,12.0,g,3.01 oz/85.3 g,7.48,0.0,0.0,91.7,375.0,375.0,,,,,,,0.0,,,,,,,,,,,,83.3,,,,,83.3,Candy Pouches
"Parmalat 2% Reduced Fat Milk, 32 fl oz (Shelf-Stable)",857065007020,240.0,ml,,2.98,0.555,1.22,0.337,,,0.0,173.0,0.29,6.78,29.8,30.8,59.6,0.172,,3.32,37.1,,,,0.0744,,,,,0.0,0.104,0.0,0.338,,Reduced Fat Milk
"Master of Mixes Margarita Salt, 8 oz",70491522923,,,8 oz,2.48,0.0,0.0,0.0,333.0,333.0,0.0,0.0,0.0,,,0.0,39300.0,,,,,,,,,,,,0.0,0.0,0.0,,,,Margarita Salt
"Payday Peanut Caramel Snack Size, Halloween Candy Bars Bag, 11.6 oz",10700858627,40.0,g,,3.96,13.4,25.0,52.9,490.0,490.0,3.8,94.0,1.92,90.0,197.0,725.0,231.0,1.57,1.0,2.47,0.0,,0.0,,7.17,0.0,0.0,35.6,40.3,0.0,4.81,0.235,0.02,,Candy Bars
"Parmalat Lactose Free 2% Reduced Fat Milk, 32 fl oz",857065007174,240.0,ml,,2.98,3.36,1.9,4.9,50.0,50.0,0.0,126.0,0.0,12.0,103.0,159.0,39.0,0.43,,0.03,,,0.2,,0.112,0.2,0.0,18.2,4.89,,1.11,0.061,0.55,,Lactose-Free Milk
"Jack Daniel's Country Cocktails Watermelon Punch, 23.5 fl. oz Can",840245600098,,,355 MLT,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,,,0.0,Watermelon Punch
"Great Value 2% Reduced Fat Milk, 128 Fl Oz",78742351872,240.0,ml,,3.36,3.33,2.08,5.0,54.0,54.0,0.0,125.0,0.0,,,167.0,54.0,,208.0,,42.0,,1.0,,,,,,5.0,0.0,1.25,,,,Milk
"Kathy Kaye's Halloween Sweet & Salty Popcorn Balls, 12 Ct",896324001522,28.0,g,4 oz/113 g,6.98,3.57,7.14,92.9,414.0,414.0,3.6,0.0,0.0,,,,464.0,,0.0,,,,0.0,,,,,,67.9,0.0,3.57,,,,Popcorn Balls
"Rancho La Gloria, Mango Margarita Wine Cocktail, 13.9% ABV, 750ml Glass Bottle, 12 - 25oz servings",860001022704,,,,9.48,1.36,1.05,28.2,128.0,128.0,1.8,26.0,0.83,17.0,30.0,309.0,1260.0,0.38,359.0,1.08,0.0,,11.6,,0.82,4.4,0.0,11.0,11.8,,0.0,0.08,0.0,,Margarita Wine Cocktail
"Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",78742351865,240.0,ml,,3.36,26.3,26.7,38.4,,,0.0,912.0,0.47,85.0,776.0,1330.0,371.0,3.34,934.0,0.58,420.0,,8.6,,0.646,2.2,0.0,119.0,38.4,,16.7,0.302,3.25,,Milk
"Jolly Rancher Assorted Fruit Flavors Hard Candy, Resealable Bag 14 oz",10700556868,18.0,g,3.5 oz/99 g,3.74,0.0,0.0,94.4,389.0,389.0,,,,,,,56.0,,,,,,,,,,,,61.1,,,,,,Hard Candy
"Mr & Mrs T Strawberry Daiquiri Margarita Mix, 1 L, Bottle",70655947302,120.0,ml,59.2 fl oz,4.48,0.0,0.0,34.2,142.0,142.0,,,,,,,33.0,,,,,,,,,,,,33.3,,,,,33.3,Margarita Mix
"Great Value 2% Reduced Fat Milk, Half Gallon, 64 fl oz",78742352015,240.0,ml,,2.02,3.33,2.08,5.0,54.0,54.0,0.0,125.0,0.0,,,167.0,54.0,,208.0,,42.0,,1.0,,,,,,5.0,0.0,1.25,,,,Reduced Fat Milk
"Almond Joy Coconut and Almond Chocolate Snack Size, Halloween Candy Bars Bag, 11.3 oz",34000021192,,,,3.96,4.13,26.9,59.5,479.0,479.0,5.0,64.0,1.27,,112.0,254.0,142.0,,42.0,,,,0.7,,,,,,48.3,,17.6,,,,Chocolate Candy
"Juicy Drop Pop Sweet Lollipops Candy with Sour Liquid, Assorted Flavors, .92oz",41116005923,,,,2.28,0.0,0.2,98.0,394.0,394.0,0.0,3.0,0.3,3.0,3.0,5.0,38.0,0.01,,0.0,,,0.0,,0.007,0.0,0.0,0.0,62.9,,0.0,0.003,0.0,,Lollipops
"Uno Mas Peach Margarita Wine Cocktail, 13.9% ABV, 1.5L Glass Bottle, 10-150ml Servings",83103971095,,,,8.96,1.36,1.05,28.2,128.0,128.0,1.8,26.0,0.83,17.0,30.0,309.0,1260.0,0.38,359.0,1.08,0.0,,11.6,,0.82,4.4,0.0,11.0,11.8,,0.0,0.08,0.0,,Margarita Cocktail
"Great Value Whole Vitamin D Milk, Half Gallon, 64 fl oz",78742352008,240.0,ml,,2.02,26.3,26.7,38.4,,,0.0,912.0,0.47,85.0,776.0,1330.0,371.0,3.34,934.0,0.58,420.0,,8.6,,0.646,2.2,0.0,119.0,38.4,,16.7,0.302,3.25,,Milk
"Sola Low Carb, No Added Sugar Sweet & Buttery Sliced Bread, 14 oz",851921006547,28.0,g,,5.64,0.17,0.0,0.73,27.0,27.0,0.0,4.0,0.0,4.0,8.0,17.0,3.0,0.01,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,Low Carb Bread
"Great Value 1% Low Fat Milk, Gallon, 128 fl oz",78742351889,240.0,ml,,3.36,3.38,0.95,5.18,43.0,43.0,0.0,126.0,0.0,12.0,103.0,159.0,39.0,0.43,,0.02,,,0.0,,0.113,0.1,0.0,17.4,4.96,,0.568,0.06,0.61,,Low Fat Milk
"Kit Kat Milk Chocolate Snack Size, Halloween Wafer Candy Bars Bag, 10.78 oz",34000087662,,,,3.96,6.51,26.0,64.6,518.0,518.0,1.0,125.0,1.0,37.0,135.0,231.0,54.0,0.09,81.0,0.34,0.0,,0.0,,0.5,5.2,6.0,31.0,48.7,0.099,18.0,0.02,0.56,,Chocolate Candy
"Rancho La Gloria, Lime Margarita Cocktail, 13.9% ABV, 750ml Glass Bottle, 5-150ml Servings",861518002609,,,,9.48,1.36,1.05,28.2,128.0,128.0,1.8,26.0,0.83,17.0,30.0,309.0,1260.0,0.38,359.0,1.08,0.0,,11.6,,0.82,4.4,0.0,11.0,11.8,,0.0,0.08,0.0,,Margarita Cocktail
"Dave's Killer Bread 21 Whole Grains and Seeds Thin-Sliced Organic Bread Loaf, 20.5 oz",13764027138,28.0,g,20.5 oz/580 g,5.47,10.7,3.57,39.3,214.0,214.0,10.7,71.0,2.57,86.0,214.0,304.0,339.0,2.14,0.0,,,,0.0,,2.86,0.0,,,3.57,0.0,0.0,0.143,,,Organic Bread
"Life Savers Wint-O-Green Breath Mint Hard Candy, Party Size - 44.93 oz",22000290588,3.5,g,3.2 oz/90.7 g,11.17,0.0,0.0,100.0,400.0,400.0,,,,,,,0.0,,,,,,,,,,,,93.3,,,,,,Breath Mint Candy
Charms Blow Pops Halloween Creepy Treats Assorted Lollipops 24.75 oz / 45 Ct,14200202522,,,,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lollipops
"Great Value Fat Free Milk, Gallon, 128 fl oz",78742351896,240.0,ml,,3.36,3.43,0.08,4.92,34.0,34.0,0.0,132.0,0.0,12.0,107.0,167.0,41.0,0.45,,0.0,,,0.0,,0.118,0.0,0.0,18.2,5.05,,0.049,0.058,0.58,,Milk
"Mr & Mrs T Pina Colada Mix, 1 L, Bottle",70655960301,120.0,ml,59.2 fl oz,4.48,0.0,0.0,34.2,142.0,142.0,,,,,,,33.0,,,,,,,,,,,,33.3,,,,,33.3,Pina Colada Mix
"OREO Double Stuf Chocolate Sandwich Cookies, Family Size, 18.71 oz",44000060251,29.0,g,,3.98,2.94,20.6,73.5,471.0,471.0,2.9,47.0,4.15,,,162.0,397.0,,,,,,0.0,,,,,,41.2,0.0,5.88,,,,Chocolate Sandwich Cookies
"Life Savers 5 Flavors Hard Candy, Party Size - 50 oz Bag",22000280978,15.0,g,3 oz/85.1 g,11.17,0.0,0.0,100.0,400.0,400.0,,,,,,,0.0,,,,,,,,,,,,86.7,,,,,,Hard Candy
"Hiland 2% Reduced Fat Milk, Gallon, 128 fl oz",72060007176,,,,5.24,3.36,1.9,4.9,50.0,50.0,0.0,126.0,0.0,12.0,103.0,159.0,39.0,0.43,,0.03,,,0.2,,0.112,0.2,0.0,18.2,4.89,,1.11,0.061,0.55,,Milk
