Product Name,Walmart Item ID,UPC Code,Serving Size,Serving Size Unit,Product Size,Price,Protein,Total lipid (fat),"Carbohydrate, by difference",Energy - kcal,Energy - kJ,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin A, IU",Vitamin E (alpha-tocopherol),"Vitamin D (D2 + D3), International Units",Vitamin E,"Vitamin C, total ascorbic acid","Thiamin	Riboflavin",Niacin,Vitamin K (phylloquinone),Folic acid,"Choline, total","Sugars, total including NLEA","Fatty acids, total trans","Fatty acids, total saturated",Vitamin B-6,Vitamin B-12,"Sugars, added"
"Great Value Hot Dog Buns, White, 11 oz, 8 Count",10450133,78742097282,43,g,,1.38,9.77,3.91,50.1,279,279,1.8,144,3.43,23,101,122,494,0.73,,0.27,,,1.3,,4.18,4.8,53,14.6,7.28,,0.842,0.063,0.2,
"Butterball Smoked Sausage, 13oz.",13908162,22655306054,56,g,,3.47,12,28.2,0.94,,,0,11,0.59,11,157,483,827,1.31,0,0.25,43,,0,,2.81,0,0,61.1,0.94,0.231,9.31,0.179,0.66,
"Hershey Assorted Chocolate Flavored Mini Halloween Candy, Bulk Variety Bag 53.34 oz, 185 Pieces",2499863981,34000943876,,,80.36 oz,16.98,0,8.62,82.8,,,0,,0,,,0,0,,,,0,,,,,,,,55.2,0,8.62,,,55.2
"Reese's and Kit Kat Assorted Milk Chocolate Snack Size Halloween Candy, Bulk Bag 43.65 oz, 80 Pieces",2830849027,34000952540,,,,16.98,6.24,27.8,63.6,520,520,1.9,138,0.84,2,112,294,64,0.07,92,,,,1.3,,0.18,,,,54,0,18,0,,
"7UP Zero Sugar Lemon Lime Soda, 12 fl oz cans, 12 pack",16777398,78000011814,,,12 fl oz,5.38,0,0,10.7,39,39,,,,,,,18,,,,,,,,,,,,10.7,,,,,10.7
"Old Wisconsin Gluten Free Turkey Sausage Sticks, 28 Oz",55522122,73170327000,25,g,4.2 oz/120 g,14.98,20,16.7,6.67,267,267,0,0,2.4,,,,1070,,0,,,,0,,,,,,0,0,6.67,,,
"Great Value Purified Drinking Water, 16.9 fl oz Bottles, 40 Count",992524020,78742279091,,,16.9 fl oz,5.36,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
"Tootsie Roll Child's Play - Individually Wrapped Party Candy - Funtastic Candy Variety Mix Bag - Peanut Free, Gluten Free - 45.4 oz bag",1584437352,71720174548,,,26 oz,9.94,0,0,81.8,318,318,0,0,0,,,0,23,,,,0,,,,,,,,50,0,0,,,50
"Johnsonville Original Breakfast Sausage, 14 Links, 12 oz (Fresh)",10316057,77782002768,55,g,,3.47,15.9,10.4,3.18,,,0,55,1.34,20,174,258,714,2.51,0,0.19,17,,0,,4.43,0.4,0,33.9,0,0.127,2.82,0.259,1.28,
"Heinz Tomato Ketchup, 32 oz Bottle",15529427,13000006057,17,g,32 oz,4.76,0,0,29.4,118,118,0,0,0,,,0,1060,,,,,,,,,,,,23.5,0,0,,,23.5
"Freshness Guaranteed Fresh Chicken Drumsticks, 19g Protein per 4oz Serving, 5 lb",613823324,681131090278,,,,4.94,19.6,8.93,0,161,161,0,18,0.96,,,,85,,89,,,,3.2,,,,,,0,0,2.23,,,
"Hershey Assorted Chocolate Flavored Halloween Candy, Variety Bag 29.52 oz, 100 Pieces",1654255732,34000952502,,,,9.94,3.7,1.85,77.8,333,333,0,0,1.11,,,148,222,,,,,,,,,,,,44.4,0,0,,,44.4
"Bar S Classic Franks, 12 oz, 8 Count",10290749,15900134014,42,g,,1.12,13.3,0.44,0,62,62,0,75,0,,,80,743,,0,,0,,0,,,,,,0,0,0,,,
Red Baron Frozen Pizza French Bread Pepperoni,10292862,72180632449,153,g,19.33 oz/547 g,3.92,10.2,8.76,32.8,248,248,1.5,109,2.63,,,190,650,,219,,,,1.8,,,,,,5.84,0,3.65,,,
"Hershey Assorted Chocolate Flavored Miniatures Halloween Candy, Variety Bag 65.47 oz, 230 Pieces",2002689616,34000943791,,,17.1 oz,21.97,5.88,29.4,61.8,500,500,2.9,118,4.12,,,412,88,,,,0,,,,,,,,52.9,0,17.6,,,47.1
"Hershey's Strawberry Syrup, Bottle 22 oz",10311875,34000003181,,,,3.27,1.4,0.97,34.6,,,0,11,0,36,54,187,100,0.48,0,0.01,0,,0,,0.178,0.2,0,0.8,28.6,,0,0.009,0,
"Fresh Sliced Baby Bella Mushrooms, 8 oz",586083289,37102170102,,,10 oz/284 g,2.28,2.35,0,4.71,24,24,1.2,24,0,,,447,6,,,,0,,,,,,,,1.18,0,0,,,
"Jimmy Dean Simple Scrambles Meat Lovers Quick Breakfast Cup, 5.35 oz",125386570,77900650468,151,g,151.67 GRM,3.18,15.9,13.9,1.32,194,194,0,132,1.19,,,136,479,,,,,,,,,,,,0.66,0,6.62,,,0.1
"YumEarth Strawberry Licorice Candy, Organic & Gluten Free, 5 oz Bag",185684489,810165019065,30,g,,3.82,0,0,98.9,396,396,0.1,3,0.4,1,1,5,44,0,,0,,,0,,0.01,0,0,0,59,,0,0.005,0,
Fun Pops Merchandise,1819823437,71041203606,,,27 oz/0.77 kg,2.98,0,0,18.6,70,70,,,,,,,0,,,,,,,,,,,,16.3,,,,,
Hsy ChocSyrup 24oz,21081233,34000003129,,,,3.27,22.3,7.14,0,161,161,0,18,1.96,,,277,54,,0,,,,0,,,,,,0,0,2.68,,,
"Birds Eye Steamfresh Roasted Red Potato Blend, Frozen, 10 oz",12166190,14500012982,74,g,12 oz/340 g,2.5,2.27,0.57,12.5,68,68,2.3,0,0,,,,17,,852,,,,6.8,,,,,,4.55,0,0,,,
"Brach's Classic Candy Corn, Original Halloween Candy Corn, 14 oz",1255007551,41420077104,,,1.5 oz/42 g,2.98,0,0,90,367,367,0,,,,,,100,,,,,,,,,,,,73.3,0,0,,,73.3
"Land O' Frost Premium Honey Smoked Turkey Breast, Deli Sliced, 1 lb, Resealable Plastic Pouch",10307897,51900016059,50,g,16 oz/1 lbs/454 g,5.67,16.1,8.93,5.36,179,179,,,2.57,,,,1200,,,,,,,,5.36,,,,5.36,0,2.68,,,
"Utz Potato Stix, Gluten-Free, 15 oz Canister",19757588,41780070845,28,g,6.5 oz,4.47,7.14,39.3,50,571,571,3.6,0,2.57,,,,321,,,,,,32.1,,,,,,0,0,10.7,,,
"Coca-Cola Soda Pop, 12 fl oz, 24 Pack Cans",10535216,49000012781,,,12 fl oz,13.22,0,0,0,0,0,,,,,,17,11,,,,,,,,,,,,0,,,,,0
"Airheads Halloween Candy Variety Bag, Individually Wrapped Assorted Fruit Mini Bars, 12 oz",10452327,73390004590,34,g,14 oz/397 g,3.47,0,4.41,91.2,412,412,,,,,,,44,,,,,,,,,,,,55.9,0,2.94,,,
"Jack Daniel's Country Cocktails Southern Peach, 6 Pack, 10 fl. oz Bottles",55326898,82184203088,,,16.9 fl oz,8.98,0,0,12.5,46,46,,,,,,,33,,,,,,,,,,,,12.5,,,,,12.1
"Sprite Lemon Lime Soda Pop, 12 fl oz, 24 Pack Cans",10535226,49000019384,,,12 fl oz,13.22,0,0,10.7,39,39,,,,,,,18,,,,,,,,,,,,10.7,,,,,10.7
"All Natural* 80% Lean/20% Fat Ground Beef Chuck, 1 lb Tray",479601462,78742269542,112,g,,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mars Mixed M&M's, Snickers & Twix Milk Chocolate Halloween Candy - 56 Ct Bulk Bag",519253793,40000583981,,,23.77 oz,12.56,5.88,23.5,64.7,,,5.9,,2.35,,,0,265,,,,0,,,,,,,,52.9,0,11.8,,,52.9
"Jack Daniel's Country Cocktails Downhome Punch, 6 Pack, 10 oz Bottles",117758209,82184226018,,,10 fl oz,8.98,0,0,9.46,34,34,,,,,,,10,,,,,,,,,,,,9.46,,,,,9.5
"Great Value Hickory Smoked Bacon, 12 oz",23816525,78742030890,21,g,,4.97,19.4,54.8,16.1,613,613,9.7,258,3.48,,,677,484,,0,,,,0,,,,,,3.23,0,4.84,,,
Tootsie Pops Halloween Candy 25.2 oz / 40 Lollipops,698124662,71720358405,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jack Daniel's Country Cocktails, Black Jack Cola, 6 Pack, 10 fl oz Bottles, 4.8% ABV",49932974,82184226056,,,3000 MLT,8.98,0,0,0,0,0,0,0,0,,,0,0,,,,,,0,,,,,,0,0,0,,,0
"Uno Mas Lime Margarita Wine Cocktail, 13.9% ABV, 1.5L Glass Bottle, 10-150ml Servings",727725479,83103971019,,,296 mL,9.96,10,0,520,2900,2900,,,,,,,160,,1500,,,,12,,,,,,460,,,,,
"Airheads Chewy Halloween Candy Bars, Assorted Flavors, 33 oz, 60 Count",38323273,73390071011,31,g,14 oz/397 g,7.98,0,4.41,91.2,412,412,,,,,,,44,,,,,,,,,,,,55.9,0,2.94,,,
"Rancho La Gloria Strawberry Margarita Wine Cocktail, 13.9% ABV, 750ml Glass Bottle, 5-150ml Servings",566616647,861518002630,,,,9.48,1.36,1.05,28.2,128,128,1.8,26,0.83,17,30,309,1260,0.38,359,1.08,0,,11.6,,0.82,4.4,0,11,11.8,,0,0.08,0,
"Reese's Peanut Butter Baking Chips, Bag 10 oz",10311871,34000001446,,,,2.57,10.2,30.5,55.4,515,515,3.6,78,1.21,62,161,343,357,1.28,56,0.15,0,,0.3,,4.49,2,0,35.4,47.2,0,10.7,0.1,0.26,
"Uno Mas Strawberry Margarita Wine Cocktail, 13.9% ABV, 1.5L Glass Bottle, 10-150ml Servings",645956053,83103971033,,,,8.96,1.36,1.05,28.2,128,128,1.8,26,0.83,17,30,309,1260,0.38,359,1.08,0,,11.6,,0.82,4.4,0,11,11.8,,0,0.08,0,
"Parmalat Whole Milk, 32 fl oz (Shelf-Stable)",151857624,857065007013,240,ml,,2.98,0.555,1.22,0.337,,,0,173,0.29,6.78,29.8,30.8,59.6,0.172,,3.32,37.1,,,,0.0744,,,,,0,0.104,0,0.338,
"Snickers Fun Size Halloween Chocolate Candy Bars, 18.71oz Bag",663403068,40000574187,17,g,10.36 oz,6.98,5.88,23.5,58.8,,,0,,0,,,0,235,,,,0,,,,,,,,52.9,0,8.82,,,47.1
"Rancho La Gloria, Blueberry Margarita Cocktail, 13.9% ABV, 750ml Glass Bottle, 5-150ml Servings",346296935,850012571919,,,,9.48,1.36,1.05,28.2,128,128,1.8,26,0.83,17,30,309,1260,0.38,359,1.08,0,,11.6,,0.82,4.4,0,11,11.8,,0,0.08,0,
"Twizzlers Twists Strawberry Candy, Bag 16 oz",10535678,34000560028,nan,nan,,3.44,2.56,2.32,79.2,348,348,0,0,0.51,,,,287,,0,,,,0,,,,,,39.6,,0,,,
"Nestle Nesquik Chocolate Lowfat Milk, Ready to Drink, 14 fl oz",24100302,28000772123,240,ml,,1.48,3.46,1.11,10.2,64,64,0.1,129,0.23,13,96,172,65,0.43,,0,,,0.4,,0.124,0.1,0,17,9.94,,0.616,0.047,0.23,
"Daily's Strawberry Frozen Daiquir Cocktail, 10 fl oz Pouch",44391528,74806184202,,,10 OZA,1.98,0,0,14.9,58,58,0,0,0,,,0,3,,,,,,20.3,,,,,,13.6,0,0,,,12.5
"Fun Dip Candy, Halloween Trick or Treat Razz Apple Magic Dip & Cherry Yum Diddly Dip Candy Pouches, 44 ct",262759965,79200215965,12,g,3.01 oz/85.3 g,7.48,0,0,91.7,375,375,,,,,,,0,,,,,,,,,,,,83.3,,,,,83.3
"Parmalat 2% Reduced Fat Milk, 32 fl oz (Shelf-Stable)",529164161,857065007020,240,ml,,2.98,0.555,1.22,0.337,,,0,173,0.29,6.78,29.8,30.8,59.6,0.172,,3.32,37.1,,,,0.0744,,,,,0,0.104,0,0.338,
"Master of Mixes Margarita Salt, 8 oz",32866076,70491522923,,,8 oz,2.48,0,0,0,333,333,0,0,0,,,0,39300,,,,,,,,,,,,0,0,0,,,
"Payday Peanut Caramel Snack Size, Halloween Candy Bars Bag, 11.6 oz",370689335,10700858627,40,g,,3.96,13.4,25,52.9,490,490,3.8,94,1.92,90,197,725,231,1.57,1,2.47,0,,0,,7.17,0,0,35.6,40.3,0,4.81,0.235,0.02,
"Parmalat Lactose Free 2% Reduced Fat Milk, 32 fl oz",440393546,857065007174,240,ml,,2.98,3.36,1.9,4.9,50,50,0,126,0,12,103,159,39,0.43,,0.03,,,0.2,,0.112,0.2,0,18.2,4.89,,1.11,0.061,0.55,
"Jack Daniel's Country Cocktails Watermelon Punch, 23.5 fl. oz Can",151423051,840245600098,,,355 MLT,2.98,0,0,0,0,0,0,0,0,,,0,0,,,,,,0,,,,,,0,0,0,,,0
"Great Value 2% Reduced Fat Milk, 128 Fl Oz",10450115,78742351872,240,ml,,3.36,3.33,2.08,5,54,54,0,125,0,,,167,54,,208,,42,,1,,,,,,5,0,1.25,,,
"Kathy Kaye's Halloween Sweet & Salty Popcorn Balls, 12 Ct",37344886,896324001522,28,g,4 oz/113 g,6.98,3.57,7.14,92.9,414,414,3.6,0,0,,,,464,,0,,,,0,,,,,,67.9,0,3.57,,,
"Rancho La Gloria, Mango Margarita Wine Cocktail, 13.9% ABV, 750ml Glass Bottle, 12 - 25oz servings",791878755,860001022704,,,,9.48,1.36,1.05,28.2,128,128,1.8,26,0.83,17,30,309,1260,0.38,359,1.08,0,,11.6,,0.82,4.4,0,11,11.8,,0,0.08,0,
"Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",10450114,78742351865,240,ml,,3.36,26.3,26.7,38.4,,,0,912,0.47,85,776,1330,371,3.34,934,0.58,420,,8.6,,0.646,2.2,0,119,38.4,,16.7,0.302,3.25,
"Jolly Rancher Assorted Fruit Flavors Hard Candy, Resealable Bag 14 oz",45589842,10700556868,18,g,3.5 oz/99 g,3.74,0,0,94.4,389,389,,,,,,,56,,,,,,,,,,,,61.1,,,,,
"Mr & Mrs T Strawberry Daiquiri Margarita Mix, 1 L, Bottle",33631789,70655947302,120,ml,59.2 fl oz,4.48,0,0,34.2,142,142,,,,,,,33,,,,,,,,,,,,33.3,,,,,33.3
"Great Value 2% Reduced Fat Milk, Half Gallon, 64 fl oz",10450119,78742352015,240,ml,,2.02,3.33,2.08,5,54,54,0,125,0,,,167,54,,208,,42,,1,,,,,,5,0,1.25,,,
"Almond Joy Coconut and Almond Chocolate Snack Size, Halloween Candy Bars Bag, 11.3 oz",971966956,34000021192,,,,3.96,4.13,26.9,59.5,479,479,5,64,1.27,,112,254,142,,42,,,,0.7,,,,,,48.3,,17.6,,,
"Juicy Drop Pop Sweet Lollipops Candy with Sour Liquid, Assorted Flavors, .92oz",38253452,41116005923,,,,2.28,0,0.2,98,394,394,0,3,0.3,3,3,5,38,0.01,,0,,,0,,0.007,0,0,0,62.9,,0,0.003,0,
"Uno Mas Peach Margarita Wine Cocktail, 13.9% ABV, 1.5L Glass Bottle, 10-150ml Servings",778696665,83103971095,,,,8.96,1.36,1.05,28.2,128,128,1.8,26,0.83,17,30,309,1260,0.38,359,1.08,0,,11.6,,0.82,4.4,0,11,11.8,,0,0.08,0,
"Great Value Whole Vitamin D Milk, Half Gallon, 64 fl oz",10450118,78742352008,240,ml,,2.02,26.3,26.7,38.4,,,0,912,0.47,85,776,1330,371,3.34,934,0.58,420,,8.6,,0.646,2.2,0,119,38.4,,16.7,0.302,3.25,
"Sola Low Carb, No Added Sugar Sweet & Buttery Sliced Bread, 14 oz",825009478,851921006547,28,g,,5.64,0.17,0,0.73,27,27,0,4,0,4,8,17,3,0.01,,0,,,0,,0,0,0,0,0,,0,0,0,
"Great Value 1% Low Fat Milk, Gallon, 128 fl oz",10450116,78742351889,240,ml,,3.36,3.38,0.95,5.18,43,43,0,126,0,12,103,159,39,0.43,,0.02,,,0,,0.113,0.1,0,17.4,4.96,,0.568,0.06,0.61,
"Kit Kat Milk Chocolate Snack Size, Halloween Wafer Candy Bars Bag, 10.78 oz",805757813,34000087662,,,,3.96,6.51,26,64.6,518,518,1,125,1,37,135,231,54,0.09,81,0.34,0,,0,,0.5,5.2,6,31,48.7,0.099,18,0.02,0.56,
"Rancho La Gloria, Lime Margarita Cocktail, 13.9% ABV, 750ml Glass Bottle, 5-150ml Servings",515134396,861518002609,,,,9.48,1.36,1.05,28.2,128,128,1.8,26,0.83,17,30,309,1260,0.38,359,1.08,0,,11.6,,0.82,4.4,0,11,11.8,,0,0.08,0,
"Dave's Killer Bread 21 Whole Grains and Seeds Thin-Sliced Organic Bread Loaf, 20.5 oz",170476642,13764027138,28,g,20.5 oz/580 g,5.47,10.7,3.57,39.3,214,214,10.7,71,2.57,86,214,304,339,2.14,0,,,,0,,2.86,0,,,3.57,0,0,0.143,,
"Life Savers Wint-O-Green Breath Mint Hard Candy, Party Size - 44.93 oz",361514169,22000290588,3.5,g,3.2 oz/90.7 g,11.17,0,0,100,400,400,,,,,,,0,,,,,,,,,,,,93.3,,,,,
Charms Blow Pops Halloween Creepy Treats Assorted Lollipops 24.75 oz / 45 Ct,322811181,14200202522,,,,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great Value Fat Free Milk, Gallon, 128 fl oz",10450117,78742351896,240,ml,,3.36,3.43,0.08,4.92,34,34,0,132,0,12,107,167,41,0.45,,0,,,0,,0.118,0,0,18.2,5.05,,0.049,0.058,0.58,
"Mr & Mrs T Pina Colada Mix, 1 L, Bottle",195808385,70655960301,120,ml,59.2 fl oz,4.48,0,0,34.2,142,142,,,,,,,33,,,,,,,,,,,,33.3,,,,,33.3
"OREO Double Stuf Chocolate Sandwich Cookies, Family Size, 18.71 oz",1916994209,44000060251,29,g,,3.98,2.94,20.6,73.5,471,471,2.9,47,4.15,,,162,397,,,,,,0,,,,,,41.2,0,5.88,,,
"Life Savers 5 Flavors Hard Candy, Party Size - 50 oz Bag",468733578,22000280978,15,g,3 oz/85.1 g,11.17,0,0,100,400,400,,,,,,,0,,,,,,,,,,,,86.7,,,,,
"Hiland 2% Reduced Fat Milk, Gallon, 128 fl oz",39980008,72060007176,,,,5.24,3.36,1.9,4.9,50,50,0,126,0,12,103,159,39,0.43,,0.03,,,0.2,,0.112,0.2,0,18.2,4.89,,1.11,0.061,0.55,
"Reese's Milk Chocolate Peanut Butter Snack Size, Halloween Cups Candy Jumbo Bag, 19.5 oz",277123898,34000451364,,,,5.94,10.2,30.5,55.4,515,515,3.6,78,1.21,62,161,343,357,1.28,56,0.15,0,,0.3,,4.49,2,0,35.4,47.2,0,10.7,0.1,0.26,
"Jack Daniel's Country Cocktails Downhome Punch, 23.5 oz Can",124948323,82184080504,,,,2.98,0.41,0.08,14.1,55,55,0.9,6,0.28,7,11,112,5,0.09,,0.36,,,2,,0.335,2.3,0,3.7,13.1,,0.009,0.054,0,
"Tootsie Roll Pops Assorted Flavors, 10.12 Oz",308444649,71720077696,17,g,34.2 oz/2.13 lbs/969 g,3.86,0,0,88.2,353,353,,,,,,,0,,,,,,,,,,,,58.8,,,,,
"Nature's Own Perfectly Crafted Brioche Style Hamburger Buns, 18 oz, 8 Count",811955503,72250025256,64,g,18 OZ/510 g,3.67,9.38,3.91,50,266,266,1.6,109,2.66,,,94,422,,,,0,,,,,,,,10.9,0,1.56,,,10.9
"Werthers Original Hard Caramel Candy, 12 Oz",449929500,72799057657,16,g,8.1 oz/229.6 g,5.16,8.33,4.17,83.3,375,375,0,0,0,,,,208,,0,,,,0,,,,,,58.3,0,0,,,
"Rancho La Gloria, Mango Margarita Cocktail, 13.9% ABV, 1.5L Glass Bottle, 10-150ml Servings",449594215,861518002623,,,,14.98,1.36,1.05,28.2,128,128,1.8,26,0.83,17,30,309,1260,0.38,359,1.08,0,,11.6,,0.82,4.4,0,11,11.8,,0,0.08,0,
"Hiland 2% Reduced Fat Milk, Half Gallon, 64 fl oz",39980007,72060007114,240,ml,,3.42,3.36,1.9,4.9,50,50,0,126,0,12,103,159,39,0.43,,0.03,,,0.2,,0.112,0.2,0,18.2,4.89,,1.11,0.061,0.55,
"Dum Dums Original Pops Allergen-Free, Assorted Flavor Lollipops Halloween Candy 11.5 oz. Bag",1415899082,30800271003,,,4 ONZ,3.28,0,0,13,50,50,0,0,0,,,,0,,,,,,,,,,,,10,,0,,,
"Great Value White Sandwich Bread, 20 oz",10315752,78742012285,47,g,,1.32,10.5,9.05,26.1,228,228,1.2,132,2.5,19,141,120,367,1.01,,0.95,,,0,,2.48,2.6,45,127,2.88,,2.58,0.092,0.36,
"Great Value White Round Top Bread Loaf, 20 oz",10315355,78742285443,26,g,24 oz/680 g,1.32,6.45,3.23,54.8,258,258,3.2,129,2.9,,,65,645,,,,0,,,,,,,,6.45,0,0,,,6.5
"Rancho La Gloria, Strawberry Margarita Wine Cocktail, 13.9% ABV, 1.5L Glass Bottle, 10 - 150ml Servings",829702339,861518002654,,,,14.98,1.36,1.05,28.2,128,128,1.8,26,0.83,17,30,309,1260,0.38,359,1.08,0,,11.6,,0.82,4.4,0,11,11.8,,0,0.08,0,
"Hiland Whole Vitamin D Milk, Gallon, 128 fl oz",44391061,72060001174,,,,5.24,26.3,26.7,38.4,,,0,912,0.47,85,776,1330,371,3.34,934,0.58,420,,8.6,,0.646,2.2,0,119,38.4,,16.7,0.302,3.25,
"Rice Krispies Treats Original Chewy Mini Marshmallow Snack Bars, 23.2 oz",38385901,38000121746,44,g,,10.98,3.4,9,80.5,417,417,0,3,2.2,13,42,39,351,0.5,900,0,0,,0,,9.1,0,199,0,19.4,,1.4,0.9,0,
"Life Savers Wint-O-Green Breath Mints Hard Candy, Sharing Size - 13 oz",292568806,22000290434,,,3.2 oz/90.7 g,3.98,0,0,100,400,400,,,,,,,0,,,,,,,,,,,,93.3,,,,,
"Great Value Hamburger Buns, 8 Count, 11 oz",10450104,78742223759,43,g,,1.38,9.77,3.91,50.1,279,279,1.8,144,3.43,23,101,122,494,0.73,,0.27,,,1.3,,4.18,4.8,53,14.6,7.28,,0.842,0.063,0.2,
"Rancho La Gloria, Lime Margarita Cocktail, 13.9% ABV, 1.5L Glass Bottle, 10-150ml Servings",586201809,861518002647,,,,14.98,1.36,1.05,28.2,128,128,1.8,26,0.83,17,30,309,1260,0.38,359,1.08,0,,11.6,,0.82,4.4,0,11,11.8,,0,0.08,0,
"Great Value 1% Low Fat Chocolate Milk, Half Gallon, 64 fl oz",44391121,78742006505,240,ml,1.89 L,2.02,3.33,1.04,10,62,62,0,125,0.15,,,179,83,,208,,42,,0.5,,,,,,9.17,0,0.62,,,
